REF_DATE,GEO,DGUID,Educational qualification,Field of study,Gender,Age group,Status of student in Canada,Characteristics after graduation,Graduate statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE
2016,Canada,2016A11124,"Career, technical or professional training diploma",Health and related fields [10],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007938459,1.3.49.1.1.1.4.2,44400
2016,Canada,2016A11124,"Career, technical or professional training diploma","Personal, protective and transportation services [11]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007938584,1.3.53.1.1.1.4.1,6545
2016,Canada,2016A11124,"Career, technical or professional training diploma","Personal, protective and transportation services [11]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007938585,1.3.53.1.1.1.4.2,35500
2016,Canada,2016A11124,"Career, technical or professional training diploma",Other instructional programs [12],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007938710,1.3.58.1.1.1.4.1,225
2016,Canada,2016A11124,"Career, technical or professional training diploma",Other instructional programs [12],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007938711,1.3.58.1.1.1.4.2,38700
2016,Canada,2016A11124,Undergraduate degree,"Total, field of study","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007998308,1.12.1.1.1.1.4.1,124045
2016,Canada,2016A11124,Undergraduate degree,"Total, field of study","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007998309,1.12.1.1.1.1.4.2,47000
2016,Canada,2016A11124,Undergraduate degree,Education [1],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008004230,1.12.2.1.1.1.4.1,10005
2016,Canada,2016A11124,Undergraduate degree,Education [1],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008004231,1.12.2.1.1.1.4.2,49500
2016,Canada,2016A11124,Undergraduate degree,"Visual and performing arts, and communications technologies [2]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008004356,1.12.4.1.1.1.4.1,5385
2016,Canada,2016A11124,Undergraduate degree,"Visual and performing arts, and communications technologies [2]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008004357,1.12.4.1.1.1.4.2,30300
2016,Canada,2016A11124,Undergraduate degree,Humanities [3],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008004482,1.12.7.1.1.1.4.1,7735
2016,Canada,2016A11124,Undergraduate degree,Humanities [3],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008004483,1.12.7.1.1.1.4.2,35500
2016,Canada,2016A11124,Undergraduate degree,Social and behavioral sciences and law [4],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008004608,1.12.16.1.1.1.4.1,25270
2016,Canada,2016A11124,Undergraduate degree,Social and behavioral sciences and law [4],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008004609,1.12.16.1.1.1.4.2,38700
2016,Canada,2016A11124,Undergraduate degree,"Business, management and public administration [5]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008004734,1.12.24.1.1.1.4.1,30990
2016,Canada,2016A11124,Undergraduate degree,"Business, management and public administration [5]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008004735,1.12.24.1.1.1.4.2,48400
2016,Canada,2016A11124,Undergraduate degree,Physical and life sciences and technologies [6],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008004860,1.12.27.1.1.1.4.1,7060
2016,Canada,2016A11124,Undergraduate degree,Physical and life sciences and technologies [6],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008004861,1.12.27.1.1.1.4.2,38600
2016,Canada,2016A11124,Undergraduate degree,"Mathematics, computer and information sciences [7]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008004986,1.12.33.1.1.1.4.1,3785
2016,Canada,2016A11124,Undergraduate degree,"Mathematics, computer and information sciences [7]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008004987,1.12.33.1.1.1.4.2,58100
2016,Canada,2016A11124,Undergraduate degree,"Architecture, engineering, and related technologies [8]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008005112,1.12.38.1.1.1.4.1,12460
2016,Canada,2016A11124,Undergraduate degree,"Architecture, engineering, and related technologies [8]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008005113,1.12.38.1.1.1.4.2,61700
2016,Canada,2016A11124,Undergraduate degree,"Agriculture, natural resources and conservation [9]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008005238,1.12.46.1.1.1.4.1,2015
2016,Canada,2016A11124,Undergraduate degree,"Agriculture, natural resources and conservation [9]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008005239,1.12.46.1.1.1.4.2,44600
2016,Canada,2016A11124,Undergraduate degree,Health and related fields [10],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008005364,1.12.49.1.1.1.4.1,17035
2016,Canada,2016A11124,Undergraduate degree,Health and related fields [10],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008005365,1.12.49.1.1.1.4.2,63300
2016,Canada,2016A11124,Undergraduate degree,"Personal, protective and transportation services [11]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008005490,1.12.53.1.1.1.4.1,1150
2016,Canada,2016A11124,Undergraduate degree,"Personal, protective and transportation services [11]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008005491,1.12.53.1.1.1.4.2,46000
2016,Canada,2016A11124,Undergraduate degree,Other instructional programs [12],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008005616,1.12.58.1.1.1.4.1,1155
2016,Canada,2016A11124,Undergraduate degree,Other instructional programs [12],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008005617,1.12.58.1.1.1.4.2,43400
2016,Canada,2016A11124,Professional degree,"Total, field of study","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008132120,1.30.1.1.1.1.4.1,6535
2016,Canada,2016A11124,Professional degree,"Total, field of study","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008132121,1.30.1.1.1.1.4.2,77600
2016,Canada,2016A11124,Professional degree,Social and behavioral sciences and law [4],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008138420,1.30.16.1.1.1.4.1,3290
